Disease,Language,Pathogenesis,References,Source,LastUpdated
Disseminated Intravascular Coagulation,en,"1. Systemic procoagulant activation (sepsis, trauma) → 2. Widespread microthrombi → 3. Consumption of clotting factors/platelets → 4. Bleeding and organ ischemia.","SSC/ISTH; Harrison's",Guideline,2025-08-27
Immune Thrombocytopenia (ITP),en,"1. Autoantibodies against platelet glycoproteins → 2. Splenic clearance of opsonized platelets → 3. Thrombocytopenia → 4. Mucocutaneous bleeding.","ASH; UpToDate",Guideline,2025-08-27
Hemophilia A/B,en,"1. Congenital factor VIII/IX deficiency → 2. Impaired thrombin generation → 3. Hemarthroses and deep tissue bleeding → 4. Arthropathy over time.","WFH; Harrison's",Guideline,2025-08-27
β-Thalassemia Major,en,"1. Mutations reducing β-globin synthesis → 2. α-chain excess causes ineffective erythropoiesis → 3. Hemolysis and marrow expansion → 4. Iron overload from transfusions/absorption.","WHO; Robbins",Manual,2025-08-27
G6PD Deficiency,en,"1. Oxidative stress without adequate NADPH → 2. RBC hemoglobin denaturation (Heinz bodies) → 3. Extravascular/intravascular hemolysis → 4. Episodic jaundice/anemia.","WHO; UpToDate",Manual,2025-08-27
Pulmonary Embolism,en,"1. DVT formation (Virchow triad) → 2. Embolization to pulmonary arteries → 3. V/Q mismatch, ↑PVR → 4. RV strain and hypoxemia.","ESC/ERS; UpToDate",Guideline,2025-08-27
Acute Respiratory Distress Syndrome (ARDS),en,"1. Direct/indirect lung injury → 2. Diffuse alveolar damage and endothelial injury → 3. Protein-rich edema and hyaline membranes → 4. Severe shunt hypoxemia → 5. Fibroproliferative phase.","Berlin Definition; ATS/ESICM",Guideline,2025-08-27
Obstructive Sleep Apnea,en,"1. Anatomical/neuromuscular upper airway collapse during sleep → 2. Intermittent hypoxia/arousals → 3. Sympathetic activation and oxidative stress → 4. Cardiometabolic sequelae.","AASM; UpToDate",Guideline,2025-08-27
Primary Spontaneous Pneumothorax,en,"1. Subpleural bleb rupture (often tall, thin males, smokers) → 2. Air entry into pleural space → 3. Lung collapse and acute pleuritic pain → 4. Recurrence risk.","BTS; UpToDate",Guideline,2025-08-27
Open-Angle Glaucoma,en,"1. Impaired trabecular outflow → 2. Progressive optic neuropathy at characteristic pressures → 3. Retinal ganglion cell loss → 4. Peripheral vision loss.","AAO; UpToDate",Guideline,2025-08-27
Acute Angle-Closure Glaucoma,en,"1. Pupillary block in anatomically narrow angle → 2. Sudden IOP rise → 3. Optic nerve ischemia → 4. Rapid visual loss if untreated.","AAO; UpToDate",Guideline,2025-08-27
Diabetic Retinopathy,en,"1. Chronic hyperglycemia → 2. Pericyte loss/microaneurysms → 3. Capillary nonperfusion and ischemia → 4. VEGF-driven neovascularization (PDR).","ADA; AAO",Guideline,2025-08-27
Acute Otitis Media,en,"1. Eustachian tube dysfunction post-URI → 2. Bacterial ascent to middle ear → 3. Effusion and mucosal inflammation → 4. Tympanic membrane bulging/pain.","AAP; UpToDate",Guideline,2025-08-27
Acute Bacterial Rhinosinusitis,en,"1. Viral URI causes ostial obstruction → 2. Bacterial superinfection → 3. Purulent sinus inflammation → 4. Facial pain and pressure.","IDSA; UpToDate",Guideline,2025-08-27
Allergic Rhinitis,en,"1. Allergen exposure with IgE-sensitized mast cells → 2. Early-phase mediator release → 3. Late-phase eosinophilic inflammation → 4. Nasal obstruction/rhinorrhea/itching.","AAAAI; UpToDate",Manual,2025-08-27
Acne Vulgaris,en,"1. Androgen-driven sebum ↑ → 2. Follicular hyperkeratinization → 3. C. acnes proliferation → 4. Inflammation and pustule/nodule formation.","AAD; UpToDate",Manual,2025-08-27
Systemic Sclerosis,en,"1. Autoimmunity and microvascular injury → 2. TGF-β–driven fibroblast activation → 3. Collagen deposition in skin/organs → 4. Raynaud’s, ILD, PAH.","EULAR; Harrison's",Guideline,2025-08-27
Sarcoidosis,en,"1. Antigen-driven immune response → 2. Noncaseating granulomas in lungs/lymph nodes → 3. Th1 cytokines (IL-2, IFN-γ) → 4. Fibrosis in chronic disease.","ATS/ERS; UpToDate",Guideline,2025-08-27
Hereditary Hemochromatosis,en,"1. HFE mutation → 2. Increased intestinal iron absorption → 3. Parenchymal iron deposition → 4. Oxidative injury (liver, pancreas, heart).","AASLD; UpToDate",Guideline,2025-08-27
Wilson Disease,en,"1. ATP7B mutation → 2. Impaired biliary copper excretion → 3. Hepatic copper accumulation → 4. Spillover to brain/cornea → 5. Hepatitis, neuropsychiatric signs, Kayser–Fleischer rings.","AASLD; UpToDate",Guideline,2025-08-27
Acute Interstitial Nephritis,en,"1. Drug-induced hypersensitivity (often) → 2. Interstitial edema with eosinophilic infiltration → 3. Tubular dysfunction → 4. AKI with sterile pyuria.","KDIGO; UpToDate",Guideline,2025-08-27
Acute Tubular Necrosis,en,"1. Ischemia/toxin exposure → 2. Tubular epithelial cell injury and sloughing → 3. Cast formation and obstruction → 4. Oliguric AKI; recovery with cell regeneration.","KDIGO; Harrison's",Guideline,2025-08-27
Nephrolithiasis (Calcium Oxalate),en,"1. Supersaturation of urine with calcium/oxalate → 2. Crystal nucleation and growth on Randall’s plaques → 3. Ureteral obstruction and colic → 4. Mucosal irritation/hematuria.","AUA; UpToDate",Guideline,2025-08-27
Pulmonary Arterial Hypertension (Group 1),en,"1. Endothelial dysfunction and vasoconstrictor–vasodilator imbalance → 2. Vascular remodeling (intimal fibrosis, plexiform lesions) → 3. ↑PVR and RV failure.","ESC/ERS; UpToDate",Guideline,2025-08-27
Atrial Fibrillation,en,"1. Triggers from pulmonary veins + atrial substrate (fibrosis/dilation) → 2. Multiple reentrant wavelets → 3. Loss of atrial kick and thromboembolism risk.","AHA/ACC/HRS",Guideline,2025-08-27
Aortic Dissection,en,"1. Cystic medial degeneration/HTN/marfan → 2. Intimal tear with blood into media → 3. Propagation along aorta → 4. Ischemia/rupture risk.","ESC; UpToDate",Guideline,2025-08-27
Deep Vein Thrombosis,en,"1. Virchow’s triad (stasis, hypercoagulability, endothelial injury) → 2. Thrombus formation in deep veins → 3. Embolization risk to lungs → 4. Post-thrombotic syndrome.","ACCP; UpToDate",Guideline,2025-08-27
Hypersensitivity Pneumonitis,en,"1. Repeated inhalation of organic antigens → 2. Immune complex and T-cell–mediated alveolitis → 3. Granulomas and fibrosis with chronic exposure.","ATS/ERS; UpToDate",Guideline,2025-08-27
Silicosis,en,"1. Crystalline silica inhalation → 2. Macrophage activation and nodular fibrosis → 3. Upper lobe–predominant scarring → 4. Progressive massive fibrosis risk.","ATS; UpToDate",Guideline,2025-08-27
Asbestosis,en,"1. Asbestos fiber deposition → 2. Iron-laden bodies and fibrotic response → 3. Lower lobe interstitial fibrosis → 4. Mesothelioma/lung cancer risk.","ATS/ERS; UpToDate",Guideline,2025-08-27
Acute Rheumatic Heart Disease,en,"1. Post-streptococcal autoimmune response → 2. Antibodies cross-react with cardiac myosin → 3. Pancarditis with Aschoff bodies → 4. Chronic valve deformities.","CDC; WHO",Guideline,2025-08-27
Cystic Fibrosis,en,"1. CFTR mutation → 2. Defective chloride channel → 3. Thickened secretions in lungs and pancreas → 4. Chronic lung infections and malabsorption.","Robbins Pathology; UpToDate",Manual,2025-08-27
Polio,en,"1. Ingestion of poliovirus → 2. Replication in oropharynx and gut → 3. Viremia → 4. Anterior horn cell destruction in spinal cord → 5. Paralysis in some cases.","WHO; CDC",Guideline,2025-08-27
Ebola Virus Disease,en,"1. Contact with infected body fluids → 2. Viral replication in monocytes, dendritic cells, hepatocytes → 3. Cytokine storm and endothelial dysfunction → 4. Hemorrhage, DIC, multiorgan failure.","WHO; CDC",Guideline,2025-08-27
Marburg Virus Disease,en,"1. Bat/human transmission → 2. Replication in mononuclear phagocytes and hepatocytes → 3. Cytokine storm, vascular injury → 4. Hemorrhagic fever and multiorgan failure.","WHO; CDC",Guideline,2025-08-27
Yellow Fever,en,"1. Aedes mosquito transmission → 2. Viral replication in lymph nodes/liver → 3. Midzone hepatocyte necrosis → 4. Jaundice, hemorrhage, renal failure.","WHO; CDC",Guideline,2025-08-27
Plague (Yersinia pestis),en,"1. Flea bite introduces Y. pestis → 2. Bacteria multiply in lymph nodes (bubonic) → 3. Septicemia or pneumonic spread → 4. Endotoxemia, DIC, multiorgan failure.","WHO; CDC",Guideline,2025-08-27
Anthrax (Cutaneous),en,"1. Spores enter skin → 2. Germinate into vegetative bacilli → 3. Toxin production (PA, LF, EF) → 4. Black eschar formation.","CDC; Harrison's",Manual,2025-08-27
Smallpox (Variola),en,"1. Inhalation of virus → 2. Viremia → 3. Infection of dermal blood vessels → 4. Pustular rash and scarring.","WHO; CDC",Guideline,2025-08-27
Candidiasis,en,"1. Candida overgrowth in mucosal surfaces (due to antibiotics, diabetes, immunosuppression) → 2. Adherence and hyphal invasion → 3. Local inflammation or disseminated infection in immunocompromised.","CDC; Robbins",Manual,2025-08-27
Cryptococcosis,en,"1. Inhalation of Cryptococcus neoformans spores → 2. Pulmonary infection → 3. Hematogenous spread to CNS → 4. Meningoencephalitis in immunocompromised.","WHO; UpToDate",Manual,2025-08-27
Aspergillosis,en,"1. Inhalation of Aspergillus conidia → 2. Germination in airways or lungs → 3. Angioinvasion → 4. Hemorrhage, necrosis, systemic dissemination in immunocompromised.","IDSA; Robbins",Guideline,2025-08-27
Histoplasmosis,en,"1. Inhalation of Histoplasma capsulatum spores → 2. Phagocytosis by alveolar macrophages → 3. Granulomatous inflammation → 4. Dissemination in immunocompromised.","CDC; Robbins",Manual,2025-08-27
Toxocariasis,en,"1. Ingestion of Toxocara eggs → 2. Larvae migrate to liver, lungs, eye, CNS → 3. Eosinophilic granulomatous inflammation → 4. Visceral or ocular larva migrans.","CDC; WHO",Guideline,2025-08-27
Strongyloidiasis,en,"1. Larvae penetrate skin → 2. Migrate via lungs to intestine → 3. Autoinfection cycle → 4. Hyperinfection in immunocompromised causing sepsis.","CDC; WHO",Guideline,2025-08-27
Trichinellosis,en,"1. Ingestion of undercooked pork → 2. Larvae invade intestinal mucosa → 3. Migrate to skeletal muscle → 4. Myositis, fever, eosinophilia.","CDC; WHO",Guideline,2025-08-27
Echinococcosis (Hydatid disease),en,"1. Ingestion of Echinococcus eggs → 2. Oncospheres invade liver/lungs → 3. Cyst formation → 4. Rupture causes anaphylaxis or spread.","WHO; Robbins",Manual,2025-08-27
Giardiasis,en,"1. Ingestion of Giardia cysts → 2. Excystation in small intestine → 3. Trophozoites attach to mucosa → 4. Malabsorption, steatorrhea.","CDC; WHO",Guideline,2025-08-27
Amebiasis,en,"1. Ingestion of Entamoeba histolytica cysts → 2. Trophozoites invade colonic mucosa → 3. Flask-shaped ulcers → 4. Hepatic abscess formation possible.","CDC; WHO",Guideline,2025-08-27
Trichomoniasis,en,"1. Sexual transmission of Trichomonas vaginalis → 2. Colonization of urogenital tract → 3. Vaginal inflammation/discharge in women; often asymptomatic in men.","CDC; WHO",Guideline,2025-08-27
HPV Infection,en,"1. Sexual or skin contact → 2. HPV infects basal epithelial cells → 3. Viral oncogenes E6/E7 inactivate p53/Rb → 4. Warts or risk of cancer (cervix, anus, oropharynx).","CDC; WHO",Guideline,2025-08-27
Huntington's Disease,en,"1. CAG repeat expansion in HTT gene → 2. Mutant huntingtin protein toxic to neurons → 3. Neuronal loss in caudate/putamen → 4. Progressive chorea and cognitive decline.","Harrison's; NIH",Manual,2025-08-27
Duchenne Muscular Dystrophy,en,"1. X-linked mutation in dystrophin gene → 2. Loss of sarcolemma stability → 3. Muscle fiber degeneration → 4. Progressive weakness and cardiomyopathy.","Robbins Pathology; NIH",Manual,2025-08-27
Spinal Muscular Atrophy,en,"1. Homozygous deletion of SMN1 gene → 2. Loss of SMN protein → 3. Degeneration of anterior horn cells → 4. Progressive muscle weakness and atrophy.","NIH; Harrison's",Manual,2025-08-27
Cerebral Palsy,en,"1. Non-progressive perinatal brain injury (hypoxia, prematurity, infections) → 2. Motor cortex/basal ganglia involvement → 3. Spasticity, dystonia, motor delay.","WHO; Harrison's",Manual,2025-08-27
Autism Spectrum Disorder,en,"1. Complex genetic + environmental factors → 2. Altered synaptic connectivity and neurotransmission → 3. Impaired social communication and repetitive behaviors.","DSM-5; NIH",Manual,2025-08-27
Schizophrenia,en,"1. Genetic predisposition + environmental stressors → 2. Dopamine dysregulation in mesolimbic/mesocortical pathways → 3. Abnormal cortical connectivity → 4. Positive, negative, and cognitive symptoms.","APA; Harrison's",Manual,2025-08-27
Major Depressive Disorder,en,"1. Genetic vulnerability + psychosocial stressors → 2. Monoamine deficiency (serotonin, norepinephrine) → 3. HPA axis dysregulation → 4. Structural/functional brain changes.","APA DSM-5; UpToDate",Manual,2025-08-27
Bipolar Disorder,en,"1. Polygenic risk + environmental triggers → 2. Abnormal neurotransmission (dopamine, glutamate) → 3. Dysregulation of circadian and limbic systems → 4. Episodic mania/depression.","APA DSM-5; NIH",Manual,2025-08-27
Alcoholic Liver Disease,en,"1. Excess alcohol metabolism → 2. Acetaldehyde toxicity + ROS → 3. Steatosis → 4. Alcoholic hepatitis → 5. Fibrosis and cirrhosis.","Harrison's; Robbins",Manual,2025-08-27
Drug-Induced Liver Injury,en,"1. Direct hepatotoxicity or immune-mediated reaction → 2. Hepatocellular necrosis or cholestasis → 3. Acute liver failure in severe cases.","UpToDate; Harrison's",Manual,2025-08-27
Pernicious Anemia,en,"1. Autoantibodies against intrinsic factor/parietal cells → 2. Vitamin B12 malabsorption → 3. Megaloblastic anemia + neurologic deficits.","Robbins; UpToDate",Manual,2025-08-27
Iron Deficiency Anemia,en,"1. Chronic blood loss/dietary deficiency → 2. Depleted iron stores → 3. Impaired hemoglobin synthesis → 4. Microcytic hypochromic anemia.","WHO; Robbins",Manual,2025-08-27
Aplastic Anemia,en,"1. Immune-mediated destruction of hematopoietic stem cells → 2. Pancytopenia → 3. Hypocellular bone marrow.","NIH; Robbins",Manual,2025-08-27
Polycythemia Vera,en,"1. JAK2 mutation → 2. Clonal myeloproliferation of RBCs → 3. Hyperviscosity, thrombosis risk.","WHO Hematology; Robbins",Manual,2025-08-27
