id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
chem_org_040,Chemistry,Organic Chemistry,Aromatic,Phenol group?,–OH,–COOH,–CHO,–NH₂,A,Phenol=–OH on benzene Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_031,Chemistry,Inorganic Chemistry,Halogens,F₂ color?,Greenish,Yellow,Pale yellow,Violet,C,Pale yellow gas Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_032,Chemistry,Inorganic Chemistry,Halogens,Br₂ at RT is?,Gas,Liquid,Solid,Plasma,B,Bromine liquid Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_033,Chemistry,Inorganic Chemistry,Ores,Zn ore?,Bauxite,Hematite,Zinc blende,Galena,C,ZnS=Zinc blende Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_034,Chemistry,Inorganic Chemistry,Ores,Pb ore?,Galena,Bauxite,Hematite,Malachite,A,PbS=Galena Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_035,Chemistry,Inorganic Chemistry,Ores,Cu ore?,Cuprite,Bauxite,Hematite,Magnetite,A,Cu₂O=Cuprite Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_036,Chemistry,Inorganic Chemistry,Ores,Fe ore?,Hematite,Galena,Bauxite,Malachite,A,Fe₂O₃ Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_037,Chemistry,Inorganic Chemistry,Periodic table,Noble gases group?,14,15,16,18,D,Group 18 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_038,Chemistry,Inorganic Chemistry,Periodic table,Lanthanides period?,5,6,7,8,B,Period 6 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_039,Chemistry,Inorganic Chemistry,Periodic table,Actinides period?,5,6,7,8,C,Period 7 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_040,Chemistry,Inorganic Chemistry,Periodic table,Most electropositive?,Li,Na,Cs,Fr,D,Francium Common trap: picking a value close to the correct one without applying the formula.
bio_gen_021,Biology,Genetics,DNA,Backbone of DNA?,Sugar-phosphate,Nucleotides,Base pairs,Proteins,A,Alternating sugar-phosphate Common trap: picking a value close to the correct one without applying the formula.
bio_gen_022,Biology,Genetics,DNA,Which base not in RNA?,Adenine,Guanine,Thymine,Cytosine,C,Thymine absent Common trap: picking a value close to the correct one without applying the formula.
bio_gen_023,Biology,Genetics,DNA,Watson-Crick model → double?,Strand,Helix,Layer,Chain,B,Double helix Common trap: picking a value close to the correct one without applying the formula.
bio_gen_024,Biology,Genetics,RNA,RNA sugar?,Deoxyribose,Ribose,Glucose,Sucrose,B,RNA has ribose Common trap: picking a value close to the correct one without applying the formula.
bio_gen_025,Biology,Genetics,Chromosomes,XXY karyotype disease?,Turner,Down,Klinefelter,Edwards,C,XXY=Klinefelter Common trap: picking a value close to the correct one without applying the formula.
bio_gen_026,Biology,Genetics,Chromosomes,XO karyotype disease?,Turner,Down,Klinefelter,Edwards,A,Turner’s syndrome Common trap: picking a value close to the correct one without applying the formula.
bio_gen_027,Biology,Genetics,Chromosomes,Trisomy 18?,Down,Klinefelter,Edwards,Patau,C,Edwards syndrome Common trap: picking a value close to the correct one without applying the formula.
bio_gen_028,Biology,Genetics,Chromosomes,Trisomy 13?,Down,Klinefelter,Edwards,Patau,D,Patau syndrome Common trap: picking a value close to the correct one without applying the formula.
bio_gen_029,Biology,Genetics,Mutation,Radiation causes?,Gene mutation,Polyploidy,No change,Deletion,A,Induces mutation Common trap: picking a value close to the correct one without applying the formula.
bio_gen_030,Biology,Genetics,DNA,Okazaki fragments in?,Leading,Continuous,Lagging,Template,C,Lagging strand Common trap: picking a value close to the correct one without applying the formula.
bio_pla_011,Biology,Plant Physiology,Transport,Cohesion-tension theory explains?,Phloem,Xylem,ATP,Nucleus,B,Water transport Common trap: picking a value close to the correct one without applying the formula.
bio_pla_012,Biology,Plant Physiology,Transport,Sucrose transport via?,Xylem,Phloem,Leaf,Root,B,Phloem Common trap: picking a value close to the correct one without applying the formula.
bio_pla_013,Biology,Plant Physiology,Photosynthesis,C₄ plants ex?,Maize,Wheat,Rice,Pea,A,Maize is C₄ Common trap: picking a value close to the correct one without applying the formula.
bio_pla_014,Biology,Plant Physiology,Photosynthesis,CAM plants ex?,Cactus,Maize,Wheat,Rice,A,Cactus CAM Common trap: picking a value close to the correct one without applying the formula.
bio_pla_015,Biology,Plant Physiology,Hormones,Gibberellins promote?,Dormancy,Stem elongation,Leaf fall,Root death,B,Promote elongation Common trap: picking a value close to the correct one without applying the formula.
bio_pla_016,Biology,Plant Physiology,Hormones,Cytokinin promotes?,Fruit ripening,Cell division,Root growth,Leaf fall,B,Stimulates cytokinesis Common trap: picking a value close to the correct one without applying the formula.
bio_pla_017,Biology,Plant Physiology,Hormones,Abscisic acid promotes?,Growth,Fruit ripening,Dormancy,Elongation,C,ABA induces dormancy Common trap: picking a value close to the correct one without applying the formula.
bio_pla_018,Biology,Plant Physiology,Hormones,Auxin produced in?,Root,Leaf,Apical meristem,Flower,C,Apical meristem Common trap: picking a value close to the correct one without applying the formula.
bio_pla_019,Biology,Plant Physiology,Hormones,Ethylene function?,Flowering,Leaf fall,Fruit ripening,Cell division,C,Ripening Common trap: picking a value close to the correct one without applying the formula.
bio_pla_020,Biology,Plant Physiology,Hormones,IAA is type of?,Auxin,Gibberellin,Cytokinin,Ethylene,A,Indole-3-acetic acid=auxin Common trap: picking a value close to the correct one without applying the formula.
bio_evo_011,Biology,Evolution,Human,Lucy fossil =?,Australopithecus,Neanderthal,Homo erectus,Homo habilis,A,Australopithecus afarensis Common trap: picking a value close to the correct one without applying the formula.
bio_evo_012,Biology,Evolution,Human,First hominid to use fire?,Homo habilis,Homo erectus,Neanderthal,Australopithecus,B,Homo erectus Common trap: picking a value close to the correct one without applying the formula.
bio_evo_013,Biology,Evolution,Human,Neanderthals lived in?,Europe,Asia,Africa,Australia,A,Mainly Europe & Asia Common trap: picking a value close to the correct one without applying the formula.
bio_evo_014,Biology,Evolution,Human,Modern humans originated in?,Europe,Asia,Africa,Australia,C,Out of Africa theory Common trap: picking a value close to the correct one without applying the formula.
bio_evo_015,Biology,Evolution,Human,Human & chimp DNA similarity?,~80%,~95%,~60%,~50%,B,≈95% DNA similarity Common trap: picking a value close to the correct one without applying the formula.
bio_evo_016,Biology,Evolution,Darwin,Darwin’s book?,Origin of species,Principia,Origin of life,Bio selection,A,On the Origin of Species 1859 Common trap: picking a value close to the correct one without applying the formula.
bio_evo_017,Biology,Evolution,Evidence,Vestigial organ ex?,Appendix,Liver,Heart,Lungs,A,Appendix no function Common trap: picking a value close to the correct one without applying the formula.
bio_evo_018,Biology,Evolution,Evidence,Analogous organs ex?,Bat wing,Bird wing,Whale flipper,Cactus spine,B,Bird & insect wing analogous Common trap: picking a value close to the correct one without applying the formula.
bio_evo_019,Biology,Evolution,Evidence,Homologous organs ex?,Human arm,Whale flipper,Bat wing,All,D,All share structure Common trap: picking a value close to the correct one without applying the formula.
bio_evo_020,Biology,Evolution,Evidence,Convergent evolution ex?,Shark & dolphin,Dog & wolf,Cow & goat,Whale & bat,A,Shark & dolphin similar look Common trap: picking a value close to the correct one without applying the formula.
phy_mech_051,Physics,Mechanics,Newton's Laws,A 10 kg mass on a smooth surface pulled by 20 N. Acceleration?,1 m/s²,2 m/s²,5 m/s²,10 m/s²,B,a=F/m=20/10=2 m/s² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_052,Physics,Mechanics,Newton's Laws,Force required to give 5 kg mass acceleration of 3 m/s²?,10 N,12 N,15 N,20 N,C,F=ma=5×3=15 N Common trap: picking a value close to the correct one without applying the formula.
phy_mech_053,Physics,Mechanics,Work & Energy,Work done lifting 50 kg mass to 2 m? (g=10),50 J,100 J,500 J,1000 J,D,W=mgh=50×10×2=1000 J Common trap: picking a value close to the correct one without applying the formula.
phy_mech_054,Physics,Mechanics,Work & Energy,Kinetic energy of 2 kg moving at 5 m/s?,10 J,25 J,50 J,100 J,C,KE=½mv²=½×2×25=25 J Common trap: picking a value close to the correct one without applying the formula.
phy_mech_055,Physics,Mechanics,Projectile,"A ball thrown at 20 m/s, 45°. Max height? (g=10)",5 m,10 m,15 m,20 m,B,h=(u²sin²θ)/(2g)=200/20=10 m Common trap: picking a value close to the correct one without applying the formula.
phy_mech_056,Physics,Mechanics,Projectile,Time of flight for same projectile?,2 s,3 s,4 s,5 s,C,T=2usinθ/g=2×20×0.707/10≈2.8 s ~ 4 s Common trap: picking a value close to the correct one without applying the formula.
phy_mech_057,Physics,Mechanics,Projectile,Range of projectile?,20 m,30 m,40 m,40.8 m,D,R=(u²sin2θ)/g=400×1/10=40 m Common trap: C (60° often picked due to misunderstanding complementary angles).
phy_mech_058,Physics,Mechanics,Circular motion,"Centripetal force on 2 kg body, v=10 m/s, r=5 m?",20 N,40 N,50 N,100 N,B,F=mv²/r=2×100/5=40 N Common trap: picking a value close to the correct one without applying the formula.
phy_mech_059,Physics,Mechanics,Circular motion,Time period of satellite in circular orbit depends on?,Mass of satellite,Radius of orbit,Speed of light,Gravitational constant,B,Kepler’s law: T∝r³/² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_060,Physics,Mechanics,Gravitation,g at height R from Earth center?,g/2,g/4,g/3,0,A,g’=g(R²)/(2R)²=g/4 Common trap: picking a value close to the correct one without applying the formula.
phy_mech_061,Physics,Mechanics,Gravitation,Escape velocity from Earth?,5 km/s,8 km/s,11.2 km/s,15 km/s,C,ve=√(2gR)≈11.2 km/s Common trap: picking a value close to the correct one without applying the formula.
phy_mech_062,Physics,Mechanics,SHM,Time period of 1 m pendulum? (g=10),1 s,2 s,3 s,4 s,B,T=2π√(L/g)=2π√0.1≈2 s Common trap: picking a value close to the correct one without applying the formula.
phy_mech_063,Physics,Mechanics,SHM,Acceleration max at?,Equilibrium,Extreme position,Middle,Everywhere,B,a max at extreme Common trap: picking a value close to the correct one without applying the formula.
phy_mech_064,Physics,Mechanics,SHM,Energy distribution in SHM at mean position?,All KE,All PE,Equal,Zero,A,At mean: KE max Common trap: picking a value close to the correct one without applying the formula.
phy_mech_065,Physics,Mechanics,Work & Energy,"If velocity doubled, KE?",Doubles,Triples,Quadruples,Same,C,KE∝v² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_066,Physics,Mechanics,Impulse,Impulse equals?,Force,Change in momentum,Work,Power,B,Impulse=Δp Common trap: picking a value close to the correct one without applying the formula.
phy_mech_067,Physics,Mechanics,Impulse,"A cricket ball hit: Δp=10 Ns, time=0.2 s. Force?",20 N,30 N,40 N,50 N,D,F=Δp/Δt=10/0.2=50 N Common trap: A or B (choosing smaller accelerations by dividing wrong).
phy_mech_068,Physics,Mechanics,Power,Work=200 J in 4 s. Power?,25 W,40 W,50 W,60 W,C,P=W/t=200/4=50 W Common trap: picking a value close to the correct one without applying the formula.
phy_mech_069,Physics,Mechanics,Newton's Laws,Friction opposes?,Motion,Cause of motion,Acceleration,Velocity,A,Resists motion Common trap: picking a value close to the correct one without applying the formula.
phy_mech_070,Physics,Mechanics,Newton's Laws,"Coefficient friction μ=0.5, N=20 N. Friction?",5 N,10 N,15 N,20 N,B,f=μN=0.5×20=10 N Common trap: picking a value close to the correct one without applying the formula.
phy_mech_071,Physics,Mechanics,Gravitation,Weight on moon vs Earth?,Same,1/6,1/2,1/9,B,Moon g≈1/6 Earth Common trap: picking a value close to the correct one without applying the formula.
phy_mech_072,Physics,Mechanics,Gravitation,Gravitational force ∝?,1/r,1/r²,1/r³,1/r⁴,B,Newton’s law: F∝1/r² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_073,Physics,Mechanics,Projectile,Angle for max range?,30°,45°,60°,90°,B,Max range at 45° Common trap: C (60° often picked due to misunderstanding complementary angles).
phy_mech_074,Physics,Mechanics,Work & Energy,Potential energy depends on?,Velocity,Height,Time,Power,B,PE=mgh Common trap: picking a value close to the correct one without applying the formula.
phy_mech_075,Physics,Mechanics,SHM,Velocity in SHM max at?,Mean position,Extreme,Node,All,A,v max at mean Common trap: picking a value close to the correct one without applying the formula.
phy_ele_021,Physics,Electricity,Ohm’s law,"If I=3 A, R=4 Ω, V=?",6 V,9 V,12 V,15 V,C,V=IR=12 V Common trap: picking a value close to the correct one without applying the formula.
phy_ele_022,Physics,Electricity,Power,"Current=5 A, R=10 Ω. Power?",100 W,200 W,250 W,300 W,C,P=I²R=25×10=250 W Common trap: picking a value close to the correct one without applying the formula.
phy_ele_023,Physics,Electricity,Circuits,Two 6 V batteries in series?,6 V,12 V,18 V,0 V,B,Voltages add Common trap: picking a value close to the correct one without applying the formula.
phy_ele_024,Physics,Electricity,Circuits,Two 6 V batteries opposing?,0 V,6 V,12 V,18 V,B,Difference=0 if equal Common trap: picking a value close to the correct one without applying the formula.
phy_ele_025,Physics,Electricity,Capacitance,"If C=2 F, V=10 V. Charge?",10 C,20 C,5 C,40 C,B,Q=CV=20 C Common trap: picking a value close to the correct one without applying the formula.
phy_ele_026,Physics,Electricity,Capacitance,Energy in capacitor 10 μF at 200 V?,0.1 J,0.2 J,0.5 J,0.2 kJ,C,E=½CV²=0.5×10⁻⁵×40000=0.2 J Common trap: picking a value close to the correct one without applying the formula.
phy_ele_027,Physics,Electricity,Resistance,Four 2 Ω resistors parallel?,0.25 Ω,0.5 Ω,1 Ω,2 Ω,C,Rp=R/n=2/4=0.5 Ω Common trap: picking a value close to the correct one without applying the formula.
phy_ele_028,Physics,Electricity,Resistance,Two 10 Ω resistors series?,5 Ω,10 Ω,20 Ω,30 Ω,C,Rs=R1+R2=20 Ω Common trap: picking a value close to the correct one without applying the formula.
phy_ele_029,Physics,Electricity,Electromagnetism,Motor principle: conductor in field experiences?,Force,Current,EMF,Voltage,A,Force on conductor Common trap: picking a value close to the correct one without applying the formula.
phy_ele_030,Physics,Electricity,Electromagnetism,Generator works on?,Motor principle,Induction,Capacitance,Resistance,B,Faraday’s induction Common trap: picking a value close to the correct one without applying the formula.
phy_ele_031,Physics,Electricity,Induction,Lenz’s law: direction of induced current?,Supports flux,Opposes change,Random,No current,B,Opposes cause Common trap: picking a value close to the correct one without applying the formula.
phy_ele_032,Physics,Electricity,Induction,Self-induction unit?,Henry,Farad,Tesla,Volt,A,Inductance in Henry Common trap: picking a value close to the correct one without applying the formula.
phy_ele_033,Physics,Electricity,Induction,Transformer works on?,AC,DC,Both,None,A,Needs alternating current Common trap: picking a value close to the correct one without applying the formula.
phy_ele_034,Physics,Electricity,Magnetism,Magnetic field inside solenoid?,Uniform,Non-uniform,Zero,Irregular,A,Almost uniform Common trap: picking a value close to the correct one without applying the formula.
phy_ele_035,Physics,Electricity,Magnetism,Right hand thumb rule shows?,Current,Magnetic field,Force,Induction,B,Field around conductor Common trap: picking a value close to the correct one without applying the formula.
phy_ele_036,Physics,Electricity,Magnetism,Force on wire ∝?,Current,Field length,Magnetic field,All,D,F=Bil Common trap: picking a value close to the correct one without applying the formula.
phy_ele_037,Physics,Electricity,AC,AC frequency in Nepal?,50 Hz,60 Hz,100 Hz,120 Hz,A,Standard=50 Hz Common trap: picking a value close to the correct one without applying the formula.
phy_ele_038,Physics,Electricity,AC,Power factor=1 means?,Purely inductive,Purely capacitive,Purely resistive,Zero lag,C,No phase difference Common trap: picking a value close to the correct one without applying the formula.
phy_ele_039,Physics,Electricity,AC,Effective value of 220 V AC?,110 V,155 V,220 V,311 V,C,RMS=220 V Common trap: picking a value close to the correct one without applying the formula.
phy_ele_040,Physics,Electricity,AC,Transformer increases?,Power,Current,Voltage,Energy,C,Steps up voltage Common trap: picking a value close to the correct one without applying the formula.
phy_ele_041,Physics,Electricity,Circuits,Fuse wire made of?,Copper,Iron,Lead,Tin-lead alloy,D,Low melting alloy Common trap: picking a value close to the correct one without applying the formula.
phy_ele_042,Physics,Electricity,Circuits,Circuit breaker protects?,Light only,Current overload,Heat only,Voltage only,B,Prevents overcurrent Common trap: picking a value close to the correct one without applying the formula.
phy_ele_043,Physics,Electricity,Capacitance,Capacitor blocks?,DC,AC,Both,None,A,"Blocks DC, passes AC Common trap: picking a value close to the correct one without applying the formula."
phy_ele_044,Physics,Electricity,Electrostatics,Unit of charge?,Coulomb,Volt,Ampere,Watt,A,Charge in Coulomb Common trap: picking a value close to the correct one without applying the formula.
phy_ele_045,Physics,Electricity,Electrostatics,Coulomb’s law force ∝?,q₁q₂/r,q₁q₂/r²,q₁+q₂,r²,B,F=kq₁q₂/r² Common trap: picking a value close to the correct one without applying the formula.
chem_org_041,Chemistry,Organic Chemistry,Hydrocarbons,Formula of benzene?,C₆H₁₂,C₆H₆,C₆H₁₀,C₆H₈,B,Aromatic hydrocarbon with C₆H₆ Common trap: picking a value close to the correct one without applying the formula.
chem_org_042,Chemistry,Organic Chemistry,Hydrocarbons,Type of bonds in benzene?,Only single,Only double,Alternate,Resonating π bonds,D,Benzene resonance with delocalized π electrons Common trap: picking a value close to the correct one without applying the formula.
chem_org_043,Chemistry,Organic Chemistry,Hydrocarbons,General formula alkynes?,CnH2n–2,CnH2n+2,CnH2n,CnH2nO,A,Alkynes follow CnH2n–2 Common trap: picking a value close to the correct one without applying the formula.
chem_org_044,Chemistry,Organic Chemistry,Hydrocarbons,Ethene decolorizes Br₂ water due to?,Saturation,Unsaturation,Substitution,Elimination,B,Br₂ addition indicates unsaturation Common trap: picking a value close to the correct one without applying the formula.
chem_org_045,Chemistry,Organic Chemistry,Isomerism,C₄H₁₀ has?,No isomers,2 isomers,3 isomers,4 isomers,B,n-butane & isobutane Common trap: picking a value close to the correct one without applying the formula.
chem_org_046,Chemistry,Organic Chemistry,Isomerism,Functional group isomers: C₂H₆O?,Alcohol+Ether,Acid+Base,Alkane+Alkene,Aromatic,A,Ethanol vs Dimethyl ether Common trap: picking a value close to the correct one without applying the formula.
chem_org_047,Chemistry,Organic Chemistry,Alcohols,Alcohol group?,–CHO,–OH,–COOH,–NH₂,B,Hydroxyl functional group Common trap: picking a value close to the correct one without applying the formula.
chem_org_048,Chemistry,Organic Chemistry,Alcohols,Methanol is?,Drinkable,Poisonous,Neutral,Base,B,Methanol is toxic Common trap: picking a value close to the correct one without applying the formula.
chem_org_049,Chemistry,Organic Chemistry,Alcohols,Fermentation produces?,Methanol,Ethanol,Propanol,Butanol,B,Glucose fermentation gives ethanol Common trap: picking a value close to the correct one without applying the formula.
chem_org_050,Chemistry,Organic Chemistry,Alcohols,Alcohol + carboxylic acid →?,Salt,Ester,Amide,Polymer,B,Esterification Common trap: picking a value close to the correct one without applying the formula.
chem_org_051,Chemistry,Organic Chemistry,Aldehydes,Functional group aldehyde?,–COOH,–OH,–CHO,–NH₂,C,Aldehyde group –CHO Common trap: picking a value close to the correct one without applying the formula.
chem_org_052,Chemistry,Organic Chemistry,Aldehydes,Fehling’s test used for?,Ketones,Aldehydes,Alcohols,Alkanes,B,Aldehydes give red ppt Common trap: picking a value close to the correct one without applying the formula.
chem_org_053,Chemistry,Organic Chemistry,Aldehydes,Formaldehyde formula?,HCHO,CH₃CHO,HCOOH,CH₃OH,A,HCHO = methanal Common trap: picking a value close to the correct one without applying the formula.
chem_org_054,Chemistry,Organic Chemistry,Ketones,Acetone formula?,CH₃CHO,CH₃COCH₃,CH₃OH,HCOOH,B,Propane-2-one Common trap: picking a value close to the correct one without applying the formula.
chem_org_055,Chemistry,Organic Chemistry,Ketones,Ketone group?,–CO–,–OH,–CHO,–COOH,A,Carbonyl between carbons Common trap: picking a value close to the correct one without applying the formula.
chem_org_056,Chemistry,Organic Chemistry,Carboxylic acids,Carboxyl group?,–OH,–NH₂,–CHO,–COOH,D,–COOH group Common trap: picking a value close to the correct one without applying the formula.
chem_org_057,Chemistry,Organic Chemistry,Carboxylic acids,Acetic acid formula?,HCOOH,CH₃COOH,HCHO,CH₃OH,B,CH₃COOH Common trap: picking a value close to the correct one without applying the formula.
chem_org_058,Chemistry,Organic Chemistry,Carboxylic acids,Acidic strength order?,Alcohol<Phenol<Carboxylic acid,Carboxylic<Phenol<Alcohol,Phenol<Alcohol<Carboxylic,Alcohol<Carboxylic<Phenol,A,–COOH strongest acid Common trap: picking a value close to the correct one without applying the formula.
chem_org_059,Chemistry,Organic Chemistry,Amines,Functional group amine?,–NH₂,–COOH,–OH,–CHO,A,Amines contain –NH₂ Common trap: picking a value close to the correct one without applying the formula.
chem_org_060,Chemistry,Organic Chemistry,Amines,Aniline formula?,C₆H₅OH,C₆H₅NH₂,C₆H₅CHO,C₆H₆,B,C₆H₅NH₂ Common trap: picking a value close to the correct one without applying the formula.
chem_org_061,Chemistry,Organic Chemistry,Amines,Basicity order?,Aromatic<Aliphatic,Aliphatic<Aromatic,Equal,Zero,A,Aliphatic amines > aromatic Common trap: picking a value close to the correct one without applying the formula.
chem_org_062,Chemistry,Organic Chemistry,Polymers,Monomer of PVC?,Styrene,Ethene,Vinyl chloride,Propene,C,–CH₂–CHCl– polymer Common trap: picking a value close to the correct one without applying the formula.
chem_org_063,Chemistry,Organic Chemistry,Polymers,Teflon monomer?,Tetrafluoroethene,Chloroethene,Propene,Styrene,A,Polymer of CF₂=CF₂ Common trap: picking a value close to the correct one without applying the formula.
chem_org_064,Chemistry,Organic Chemistry,Polymers,Bakelite formed from?,Phenol+Formaldehyde,Phenol+Acetic acid,Ethene+Cl₂,Acetic acid+Alcohol,A,Phenol-formaldehyde resin Common trap: picking a value close to the correct one without applying the formula.
chem_org_065,Chemistry,Organic Chemistry,Biomolecules,Glucose is?,Monosaccharide,Disaccharide,Polysaccharide,Protein,A,Glucose=monosaccharide Common trap: picking a value close to the correct one without applying the formula.
chem_org_066,Chemistry,Organic Chemistry,Biomolecules,Starch is?,Monosaccharide,Disaccharide,Polysaccharide,Lipid,C,Polysaccharide Common trap: picking a value close to the correct one without applying the formula.
chem_org_067,Chemistry,Organic Chemistry,Biomolecules,Protein monomer?,Nucleotides,Monosaccharides,Amino acids,Fatty acids,C,Proteins from amino acids Common trap: picking a value close to the correct one without applying the formula.
chem_org_068,Chemistry,Organic Chemistry,Biomolecules,Nucleic acid monomer?,Amino acid,Nucleotide,Monosaccharide,Base,B,DNA/RNA from nucleotides Common trap: picking a value close to the correct one without applying the formula.
chem_org_069,Chemistry,Organic Chemistry,Biomolecules,Lipid monomer?,Fatty acids+Glycerol,Amino acids,Monosaccharide,Nucleotides,A,Lipids from FA+glycerol Common trap: picking a value close to the correct one without applying the formula.
chem_org_070,Chemistry,Organic Chemistry,Biomolecules,Sucrose is?,Monosaccharide,Disaccharide,Polysaccharide,Lipid,B,Glucose+Fructose Common trap: picking a value close to the correct one without applying the formula.
chem_phy_031,Chemistry,Physical Chemistry,Thermo,Heat required to raise 1 g water 1°C?,1 cal,2 cal,3 cal,4 cal,A,1 cal definition Common trap: picking a value close to the correct one without applying the formula.
chem_phy_032,Chemistry,Physical Chemistry,Thermo,First law of thermodynamics?,ΔU=Q+W,ΔU=Q–W,Q=ΔU+W,All of these,D,All represent energy conservation Common trap: picking a value close to the correct one without applying the formula.
chem_phy_033,Chemistry,Physical Chemistry,Thermo,Adiabatic process has?,Q=0,W=0,ΔU=0,ΔH=0,A,No heat exchange Common trap: picking a value close to the correct one without applying the formula.
chem_phy_034,Chemistry,Physical Chemistry,Thermo,Isochoric means?,V=const,P=const,T=const,Q=const,A,Constant volume Common trap: picking a value close to the correct one without applying the formula.
chem_phy_035,Chemistry,Physical Chemistry,Thermo,Isothermal means?,T=const,V=const,P=const,Q=const,A,Constant temperature Common trap: picking a value close to the correct one without applying the formula.
chem_phy_036,Chemistry,Physical Chemistry,Kinetics,Half-life formula for 1st order?,0.693/k,1/k,0.693k,1/2k,A,t½=0.693/k Common trap: picking a value close to the correct one without applying the formula.
chem_phy_037,Chemistry,Physical Chemistry,Kinetics,Rate=k[A]². Order?,1,2,0,3,B,Sum of powers=2 Common trap: picking a value close to the correct one without applying the formula.
chem_phy_038,Chemistry,Physical Chemistry,Kinetics,Zero order reaction rate?,Independent of [A],Proportional to [A],Inverse to [A],Variable,A,Rate constant Common trap: picking a value close to the correct one without applying the formula.
chem_phy_039,Chemistry,Physical Chemistry,Kinetics,Arrhenius equation shows?,k vs T,Ea,Rate law,ΔH,B,Ea in exponential term Common trap: picking a value close to the correct one without applying the formula.
chem_phy_040,Chemistry,Physical Chemistry,Kinetics,Catalyst changes?,Ea,ΔH,ΔS,ΔG,A,Lowers Ea Common trap: picking a value close to the correct one without applying the formula.
chem_phy_041,Chemistry,Physical Chemistry,Electrochemistry,Standard electrode potential measured at?,25°C,0°C,100°C,37°C,A,298 K standard Common trap: picking a value close to the correct one without applying the formula.
chem_phy_042,Chemistry,Physical Chemistry,Electrochemistry,Electrolytic cell converts?,Electrical→Chemical,Chemical→Electrical,Heat→Work,Work→Heat,A,Electrolysis Common trap: picking a value close to the correct one without applying the formula.
chem_phy_043,Chemistry,Physical Chemistry,Electrochemistry,Galvanic cell converts?,Electrical→Chemical,Chemical→Electrical,Heat→Work,Work→Heat,B,Spontaneous cell Common trap: picking a value close to the correct one without applying the formula.
chem_phy_044,Chemistry,Physical Chemistry,Electrochemistry,Salt bridge prevents?,Current,Electrons,Charge buildup,Resistance,C,Maintains neutrality Common trap: picking a value close to the correct one without applying the formula.
chem_phy_045,Chemistry,Physical Chemistry,Electrochemistry,Electroplating uses?,AC,DC,Both,None,B,Requires DC Common trap: picking a value close to the correct one without applying the formula.
chem_phy_046,Chemistry,Physical Chemistry,Solutions,Raoult’s law relates?,Vapor pressure,Moles,Boiling point,Osmosis,A,Psoln∝mole fraction Common trap: picking a value close to the correct one without applying the formula.
chem_phy_047,Chemistry,Physical Chemistry,Solutions,Colligative properties depend on?,Nature,Moles,Type,Color,B,Only moles matter Common trap: picking a value close to the correct one without applying the formula.
chem_phy_048,Chemistry,Physical Chemistry,Solutions,Molality unit?,mol/kg,mol/L,L/mol,kg/mol,A,Mol/kg solvent Common trap: picking a value close to the correct one without applying the formula.
chem_phy_049,Chemistry,Physical Chemistry,Solutions,Freezing point depression ∝?,ΔTf∝m,ΔTf∝M,ΔTf∝V,ΔTf∝n,B,Depends on molality Common trap: picking a value close to the correct one without applying the formula.
chem_phy_050,Chemistry,Physical Chemistry,Solutions,Boiling point elevation formula?,ΔTb=Kb·m,ΔTb=Ka·m,ΔTb=Kw·m,ΔTb=Kc·m,A,Colligative relation Common trap: picking a value close to the correct one without applying the formula.
bio_gen_031,Biology,Genetics,DNA,DNA double helix held by?,Ionic bonds,Hydrogen bonds,Covalent bonds,Peptide bonds,B,Base pairs linked by H-bonds Common trap: picking a value close to the correct one without applying the formula.
bio_gen_032,Biology,Genetics,DNA,Purine bases are?,Adenine+Guanine,Cytosine+Thymine,Uracil+Cytosine,Thymine+Uracil,A,Purines=2-ring bases Common trap: picking a value close to the correct one without applying the formula.
bio_gen_033,Biology,Genetics,DNA,Pyrimidine bases are?,Adenine+Guanine,Cytosine+Thymine,Cytosine+Uracil,All of these,B,Cytosine+Thymine in DNA Common trap: picking a value close to the correct one without applying the formula.
bio_gen_034,Biology,Genetics,RNA,Uracil replaces?,Adenine,Thymine,Cytosine,Guanine,B,Uracil replaces thymine in RNA Common trap: picking a value close to the correct one without applying the formula.
bio_gen_035,Biology,Genetics,Replication,Enzyme for DNA replication?,Ligase,Polymerase,RNA polymerase,Transcriptase,B,DNA polymerase Common trap: picking a value close to the correct one without applying the formula.
bio_gen_036,Biology,Genetics,Replication,Okazaki fragments joined by?,Helicase,Ligase,Polymerase,Topoisomerase,B,Ligase joins fragments Common trap: picking a value close to the correct one without applying the formula.
bio_gen_037,Biology,Genetics,Replication,Semi-conservative DNA proved by?,Watson+Crick,Hershey+Chase,Meselson+Stahl,Franklin,C,15N–14N experiment Common trap: picking a value close to the correct one without applying the formula.
